movieId,title,genres
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy
2,Jumanji (1995),Adventure|Children|Fantasy
3,Grumpier Old Men (1995),Comedy|Romance
4,Waiting to Exhale (1995),Comedy|Drama|Romance
5,Father of the Bride Part II (1995),Comedy
6,Heat (1995),Action|Crime|Thriller
7,Sabrina (1995),Comedy|Romance
8,Tom and Huck (1995),Adventure|Children
9,Sudden Death (1995),Action
10,GoldenEye (1995),Action|Adventure|Thriller
11,The American President (1995),Comedy|Drama|Romance
12,Dracula: Dead and Loving It (1995),Comedy|Horror
13,Balto (1995),Animation|Children|Drama
14,Nixon (1995),Drama|History
15,Cutthroat Island (1995),Action|Adventure|Romance
16,Young Frankenstein (1974),Comedy|Horror
17,True Lies (1994),Action|Comedy|Thriller
18,Batman Forever (1995),Action|Adventure|Fantasy
19,Dead Man Walking (1995),Crime|Drama
20,Before Sunrise (1995),Drama|Romance
